track_id,audio_url,Track Name,Artist
42jqtDBoV2YGTRbFI02p6H,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/704eed07-a7e2-4de3-8eba-ee0aad12d1b1/Timmy-Trumpet-Fuego.mp3,Fuego,Timmy Trumpet
29I9dv9Nq704w0Oc5yFGsR,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/9cebebef-efa8-4b6c-b193-be3056330b20/Disclosure-She-s-Gone-Dance-On.mp3,"She’s Gone, Dance On",Disclosure
6uRUfq1y0VayUjh2M935g7,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/c65e7588-8a7c-4e91-add7-838396d90c19/Mike-Candys-Insomnia-Rework-.mp3,Insomnia - Rework,Mike Candys
1D5ifTPFnQWDnSxSAfc1hc,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/aecb83b9-bae0-455c-aa36-316f825c7cda/Anyma-Pictures-Of-You.mp3,Pictures Of You,Anyma
5c6wukRUuEWT6CKVOyNIHJ,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d7f7c60f-a23d-434d-bbd2-9a24b92301bc/Bemac-Aliveness.mp3,Aliveness,Bemac
5Y2n6pW4Vqr4Mzkd9V4Uk8?,,Ray Of Solar,Swedish House Mafia
0xoYZ45fgTfyQYREZPN7Sa?,,You & Me - Rivo Remix,Disclosure
2DFMEY4PUNyQXRLBDYNeIC,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/951f21a5-90fe-45f6-b39d-e6898d080cda/Mike-Bond-Physically-Fit-Move-It-.mp3,Physically Fit (Move It),Mike Bond
12KMoAMzaeBFh91O5sxP2o?,,The Lone Ranger,NWYR
1XyrCuAcE5dNKkaID8m8Xi?,,Elektro,DJ Jurij
